State,Average Population
California,36679513
New York,19326510
Illinois,12687920
Massachusetts,6536886
New Jersey,8718150
Texas,24292973
Pennsylvania,12561679
Florida,18360984
Maryland,5691197
Connecticut,3524583
North Carolina,9157865
Michigan,9953888
Ohio,11498430
Washington,6558331
Minnesota,5229410
Wisconsin,5602521
Tennessee,6183751
Virginia,7800997
Colorado,4892334
Hawaii,1327872
Oregon,3744757
Georgia,9331206
Arizona,6099856
Indiana,6380858
Iowa,3017634
South Carolina,4480514
Missouri,5876847
Alabama,4673883
Rhode Island,1055047
Louisiana,4532299
Nebraska,1802038
West Virginia,1829942
Arkansas,2843377
Oklahoma,3673875
Utah,2638243
Kentucky,4258882
Kansas,2804483
Nevada,2536917
Delaware,872920
Mississippi,2925989
New Mexico,1979550
New Hampshire,1300117
Maine,1315576
Idaho,1499635
North Dakota,678706
Wyoming,541227
South Dakota,802462
Montana,969102
Alaska,689475
Vermont,620326
